prompt,standard_english,ste
Rewrite the following sentence in a Simplified Technical English format.,"if the valve opening is premature, stop the test.","if the valve opens before the set pressure, stop the test."
Rewrite the following sentence in a Simplified Technical English format.,take a look at the chain.,visually examine the chain.
Rewrite the following sentence in a Simplified Technical English format.,particles that drop into the intake may cause damage.,particles that fall into the intake can cause damage.
Rewrite the following sentence in a Simplified Technical English format.,fold the edging against the outside of the insulation blankets.,fold the edging against the outer side of the insulation blanket.
Rewrite the following sentence in a Simplified Technical English format.,stamp the test date on the cylinder neck.,put the test date on the cylinder neck with the applicable stamp.
Rewrite the following sentence in a Simplified Technical English format.,direct the open end of the drain hose away from the structure.,point the open end of the drain hose away from the structure.
Rewrite the following sentence in a Simplified Technical English format.,rinse the cleaning agent from the surface.,remove the cleaning agent from the surface
Rewrite the following sentence in a Simplified Technical English format.,the operation of this unit is independent.,this unit operates independently.
Rewrite the following sentence in a Simplified Technical English format.,"if it is necessary to approach the engine exhaust, use ear protection.","if it is necessary to go near the engine exhaust, use ear protection."
Rewrite the following sentence in a Simplified Technical English format.,put the unit in a clear plastic bag.,put the unit in a transparent plastic bag.
Rewrite the following sentence in a Simplified Technical English format.,ensure the surface is even.,make sure that the surface is flat.
Rewrite the following sentence in a Simplified Technical English format.,restrain the hoses in position.,hold the hoses in position.
Rewrite the following sentence in a Simplified Technical English format.,the spoke nipples secure the spokes to the rim using the threads at the ends of the spokes.,the spoke nipples attach the spokes to the rim with the threads on the end of the spokes.
Rewrite the following sentence in a Simplified Technical English format.,use a trestle to minimize the loads on the wing.,use a trestle to keep the loads on the wing to a minimum.
Rewrite the following sentence in a Simplified Technical English format.,label the component with a code to help you install it again correctly.,identify the component with a code to help you install it again correctly.
Rewrite the following sentence in a Simplified Technical English format.,carry out the clearance measurement of the impeller.,measure the clearance of the impeller.
Rewrite the following sentence in a Simplified Technical English format.,measure the gap between the rotary actuator and the stop bolt.,measure the distance between the rotary actuator and the stop bolt.
Rewrite the following sentence in a Simplified Technical English format.,check flaps for eight deg. setting.,make sure that the position of the flaps is eight deg.
Rewrite the following sentence in a Simplified Technical English format.,clean the mounting and the surrounding area.,clean the mounting and the adjacent area.
Rewrite the following sentence in a Simplified Technical English format.,code the cables.,put a code on the cables.
Rewrite the following sentence in a Simplified Technical English format.,"if there is a conflict between the two indicators, repeat the test.","if the two indications do not agree, do the test again."
Rewrite the following sentence in a Simplified Technical English format.,do not overtighten the fittings.,do not install the fittings too tightly.
Rewrite the following sentence in a Simplified Technical English format.,lubricants for the engine and the ancillary equipment are the same.,lubricants for the engine and the auxiliary equipment are the same.
Rewrite the following sentence in a Simplified Technical English format.,"if you do not install the rigging pin, the elevators will droop when there is no pressure in the system.","if you do not install the rigging pin, the elevators will move down when there is no pressure in the system."
Rewrite the following sentence in a Simplified Technical English format.,"when the system is active, you will get a report.","when the system is on, you will get a report."
Rewrite the following sentence in a Simplified Technical English format.,do not apply extreme loads.,do not apply very high loads.
Rewrite the following sentence in a Simplified Technical English format.,solvents left on the part would corrode the part.,solvents that stay on the part can cause corrosion.
Rewrite the following sentence in a Simplified Technical English format.,submit the metal particles to a laboratory for analysis.,send the metal particles to a laboratory for analysis.
Rewrite the following sentence in a Simplified Technical English format.,"if the damage is confined to the middle treads, the tire is serviceable.","if the damage is only to the middle treads, the tire is serviceable."
Rewrite the following sentence in a Simplified Technical English format.,torque the bolts progressively,torque the bolts gradually.
Rewrite the following sentence in a Simplified Technical English format.,screw the clamp bolt tight.,tighten the clamp bolt.
Rewrite the following sentence in a Simplified Technical English format.,press the fork downwards to remove it from the frame.,push the fork down to remove it from the frame.
Rewrite the following sentence in a Simplified Technical English format.,"if the conclusions of the test are unsatisfactory, replace the unit.","if the results of the test are unsatisfactory, replace the unit."
Rewrite the following sentence in a Simplified Technical English format.,"if a failure occurs often, do the system test.","if a failure occurs frequently, do the system test."
Rewrite the following sentence in a Simplified Technical English format.,the computer acquires this data from five sensors.,the computer gets this data from five sensors.
Rewrite the following sentence in a Simplified Technical English format.,listen for abnormal noises.,listen for unusual noises.
Rewrite the following sentence in a Simplified Technical English format.,the metering plug restricts the fuel flow.,the metering plug decreases the fuel flow.
Rewrite the following sentence in a Simplified Technical English format.,the system controls must function freely.,the system controls must move freely.
Rewrite the following sentence in a Simplified Technical English format.,progressively open the cocks on the recharging unit.,gradually open the cocks on the recharging unit.
Rewrite the following sentence in a Simplified Technical English format.,this adhesive compound is harmful to your skin.,this adhesive compound can cause injury to your skin.
Rewrite the following sentence in a Simplified Technical English format.,join smoke detectors 1 and 2.,attach smoke detector 1 to smoke detector 2.
Rewrite the following sentence in a Simplified Technical English format.,two different procedures exist for this repair.,there are two different procedures for this repair.
Rewrite the following sentence in a Simplified Technical English format.,"in case of emergency, smash the glass.","in an emergency, break the glass."
Rewrite the following sentence in a Simplified Technical English format.,there is a danger of fire.,there is a risk of fire.
Rewrite the following sentence in a Simplified Technical English format.,mixture preparation must be accomplished 20 minutes before use.,prepare the mixture 20 minutes before you use it.
Rewrite the following sentence in a Simplified Technical English format.,obtain the approval of the design authority before you alter the procedure.,get the approval of the design authority before you change the procedure.
Rewrite the following sentence in a Simplified Technical English format.,clean the outside surface with warm water.,clean the outer surface with warm water.
Rewrite the following sentence in a Simplified Technical English format.,fill the tires using nitrogen.,inflate the tires with nitrogen.
Rewrite the following sentence in a Simplified Technical English format.,the procedure takes 2 hours to complete.,two hours are necessary to do the procedure.
Rewrite the following sentence in a Simplified Technical English format.,retain the plug.,keep the plug.
Rewrite the following sentence in a Simplified Technical English format.,use specific tools to preclude the possibility of damage.,use special tools to prevent possible damage.
Rewrite the following sentence in a Simplified Technical English format.,this data will help you run the bicycle.,this data will help you operate the bicycle.
Rewrite the following sentence in a Simplified Technical English format.,check for momentary increase in speed,make sure that the speed increases momentarily.
Rewrite the following sentence in a Simplified Technical English format.,the cover on the gun camera is deformed.,the cover on the gun camera is damaged.
Rewrite the following sentence in a Simplified Technical English format.,the origin of the problem is in the fuel system.,the source of the problem is in the fuel system.
Rewrite the following sentence in a Simplified Technical English format.,eliminate corrosion using the chemical compound specified in table 6001.,remove the corrosion with the chemical compound that is specified in table 6001.
Rewrite the following sentence in a Simplified Technical English format.,each survival kit comprises these items.,each survival kit contains these items.
Rewrite the following sentence in a Simplified Technical English format.,make sure the cables are taut.,make sure that the tension in the cables is correct.
Rewrite the following sentence in a Simplified Technical English format.,use the proper screwdriver.,use the correct screwdriver.
Rewrite the following sentence in a Simplified Technical English format.,clamp the light with the white glass to the front connector.,attach the light with the white glass to the front connector.
Rewrite the following sentence in a Simplified Technical English format.,keep all people out of the work area.,keep all persons out of the work area.
Rewrite the following sentence in a Simplified Technical English format.,"after the return of the ailerons to neutral, check that they are flush with the flaps.","after the ailerons go back to neutral, make sure that they are flush with the flaps."
Rewrite the following sentence in a Simplified Technical English format.,the buttons on the right shifter alters the gears on the rear derailleur.,the buttons on the right shifter changes the gears on the rear derailleur.
Rewrite the following sentence in a Simplified Technical English format.,set the switch to normal when the light comes on.,"when the light comes on, set the switch to normal."
Rewrite the following sentence in a Simplified Technical English format.,"after a few seconds, the light comes on again.","after approximately 5 seconds, the light comes on again."
Rewrite the following sentence in a Simplified Technical English format.,check that the valve is operable.,make sure that the valve can operate.
Rewrite the following sentence in a Simplified Technical English format.,"if discoloration is apparent, replace the part.","if you see discoloration, replace the part."
Rewrite the following sentence in a Simplified Technical English format.,"to remove the paint stripper, flush the surface with huge quantities of water.","to remove the paint stripper, flush the surface with large quantities of water."
Rewrite the following sentence in a Simplified Technical English format.,the fuel load must be uniform on each side of the aircraft centerline.,the fuel load must be equal on each side of the aircraft centerline.
Rewrite the following sentence in a Simplified Technical English format.,leave the container uncovered.,do not put a cover on the container.
Rewrite the following sentence in a Simplified Technical English format.,"when the test has ended, remove the sensor.","when you completed the test, remove the sensor."
Rewrite the following sentence in a Simplified Technical English format.,alternate between pilot's and copilot's instrument test.,do the pilot's instrument test and then the copilot's test.
Rewrite the following sentence in a Simplified Technical English format.,the following step establishes the correct functioning of the fuel pump.,"in this step, you will make sure that the fuel pump operates correctly."
Rewrite the following sentence in a Simplified Technical English format.,be careful when you treat printed circuit boards.,be careful when you touch printed circuit boards.
Rewrite the following sentence in a Simplified Technical English format.,soak the filler caps in distilled water for several hours.,soak the filler caps in distilled water for a minimum of eight hours.
Rewrite the following sentence in a Simplified Technical English format.,this section describes the procedures for testing the system for leaks.,this section gives the procedures for the leak test of the system.
Rewrite the following sentence in a Simplified Technical English format.,"if the flap extension does not conform to the setting of the flap control lever, do the rigging procedure again.","if the flap extension does not agree with the position of the flap control lever, do the rigging procedure again."
Rewrite the following sentence in a Simplified Technical English format.,remove the suspect valve.,remove the valve that you think is unserviceable.
Rewrite the following sentence in a Simplified Technical English format.,apply pressure steadily.,apply pressure continuously.
Rewrite the following sentence in a Simplified Technical English format.,"make sure the hydraulic fluid level is not over the ""full"" mark.","make sure that the hydraulic fluid level is not above the ""full"" mark."
Rewrite the following sentence in a Simplified Technical English format.,the tension on each of the spokes must be uniform.,the tension on each of the spokes must be equal.
Rewrite the following sentence in a Simplified Technical English format.,be careful when you open the cowls for maintenance purposes.,be careful when you open the cowls to do a maintenance task.
Rewrite the following sentence in a Simplified Technical English format.,add antifreeze if you believe that the water will freeze.,"if you think that the water will freeze, add antifreeze."
Rewrite the following sentence in a Simplified Technical English format.,check the distance between the faces.,measure the distance between the faces.
Rewrite the following sentence in a Simplified Technical English format.,"fixes the label to ""end.""","sets the caption to ""end."""
Rewrite the following sentence in a Simplified Technical English format.,refer to table 7001 for information as to the construction of the pivot assembly.,refer to table 7001 for information about how the pivot assembly is made.
Rewrite the following sentence in a Simplified Technical English format.,"fixes the label to ""no.""","sets the caption to ""no."""
Rewrite the following sentence in a Simplified Technical English format.,a specific tool is necessary for the installation of the unit.,a dedicated tool is necessary for the installation of the unit.
Rewrite the following sentence in a Simplified Technical English format.,"note dimension ""a"".","record dimension ""a""."
Rewrite the following sentence in a Simplified Technical English format.,a dust cap fits on the valve to prevent damage from dust and debris.,a dust cap installs on the valve to prevent damage that dust and debris can cause.
Rewrite the following sentence in a Simplified Technical English format.,alternate squares are red.,each second square is red.
Rewrite the following sentence in a Simplified Technical English format.,ensure that the indication does not exceed 400 knots.,make sure that the indication is not more than 400 knots.
Rewrite the following sentence in a Simplified Technical English format.,put the patch on the surface when the cement is sticky.,put the patch on the surface when the cement is tacky.
Rewrite the following sentence in a Simplified Technical English format.,the warning ceases at 17 deg.,the warning stops at 17 deg.
Rewrite the following sentence in a Simplified Technical English format.,attempt to find the defect.,try to find the defect.
Rewrite the following sentence in a Simplified Technical English format.,make sure that the material is not too old.,make sure that the shelf life of the material is not expired.
Rewrite the following sentence in a Simplified Technical English format.,substitute the pump if the pump vanes show corrosion.,"if there is corrosion on the pump vanes, replace the pump."
Rewrite the following sentence in a Simplified Technical English format.,"if this special tool is not available, use a substitute method.","if this special tool is not available, use an alternative method."
Rewrite the following sentence in a Simplified Technical English format.,observe all safety precautions,obey all safety precautions.
Rewrite the following sentence in a Simplified Technical English format.,wire the hose to the fixture.,attach the hose to the fixture with wire.
Rewrite the following sentence in a Simplified Technical English format.,do not disturb the sequence of the work steps in the test.,do not change the sequence of the work steps in the test.
Rewrite the following sentence in a Simplified Technical English format.,this section details the removal / installation instructions.,this section gives the removal / installation instructions.
Rewrite the following sentence in a Simplified Technical English format.,fix the switch to three cycles a minute.,set the switch to three cycles a minute.
Rewrite the following sentence in a Simplified Technical English format.,toluene is highly flammable.,toluene is very flammable.
Rewrite the following sentence in a Simplified Technical English format.,"if you unintentionally press the switch, cancel the start sequence.","if you accidentally push the switch, cancel the start sequence."
Rewrite the following sentence in a Simplified Technical English format.,you must don protective goggles when working on fire extinguishers.,use protective goggles when you do work on fire extinguishers.
Rewrite the following sentence in a Simplified Technical English format.,make certain that the pins do not spring out of the notch.,make sure that the pins do not move out of the notch.
Rewrite the following sentence in a Simplified Technical English format.,eliminate all sharp edges.,remove all sharp edges.
Rewrite the following sentence in a Simplified Technical English format.,mount the manifold,install the manifold.
Rewrite the following sentence in a Simplified Technical English format.,the inside surface of the part is black.,the inner surface of the part is black.
Rewrite the following sentence in a Simplified Technical English format.,discontinue the test procedure.,stop the test procedure.
Rewrite the following sentence in a Simplified Technical English format.,turn the cap anticlockwise.,turn the cap counterclockwise.
Rewrite the following sentence in a Simplified Technical English format.,"before acceptance of the unit, do the specified test procedure.","before you accept the unit, do the specified test procedure."
Rewrite the following sentence in a Simplified Technical English format.,"if a fire develops, operate the fire shutoff valve.","if a fire starts, operate the fire shutoff valve."
Rewrite the following sentence in a Simplified Technical English format.,"communicate with person b to set the switch to ""off"".","tell person b to set the switch to ""off""."
Rewrite the following sentence in a Simplified Technical English format.,do not recess studs more than 5 mm.,do not make a recess of more than 5 mm for the studs.
Rewrite the following sentence in a Simplified Technical English format.,"if one or more blades are absent, make an entry in the engine logbook.","if one or more blades are missing, make an entry in the engine logbook."
Rewrite the following sentence in a Simplified Technical English format.,the crank transfers power to the chainrings when the pedals are used.,the crank moves the power to the chain rings when the pedals operate.
Rewrite the following sentence in a Simplified Technical English format.,raise the cylinder above where it is mounted.,lift the cylinder above its installed position.
Rewrite the following sentence in a Simplified Technical English format.,the stop restricts the movement of the rod.,the stop prevents the movement of the rod.
Rewrite the following sentence in a Simplified Technical English format.,make sure that the reading on the gauge is genuine.,make sure that the indication on the gauge is correct.
Rewrite the following sentence in a Simplified Technical English format.,"if you bend this part too far, it will snap.","if you bend this part too far, it will break."
Rewrite the following sentence in a Simplified Technical English format.,recondition the seats.,repair the seats.
Rewrite the following sentence in a Simplified Technical English format.,test the unit if you fear that there is a problem with its operation.,do a test of the unit if you think that there is a problem with its operation.
Rewrite the following sentence in a Simplified Technical English format.,do not remove the fixture cover yet.,do not remove the fixture cover at this time.
Rewrite the following sentence in a Simplified Technical English format.,refrain from eating in the work area.,do not eat in the work area.
Rewrite the following sentence in a Simplified Technical English format.,manually push the ram air turbine toward the retracted position.,manually push the ram air turbine in the direction of the retracted position.
Rewrite the following sentence in a Simplified Technical English format.,the work area must be well ventilated.,there must be a good airflow in the work area.
Rewrite the following sentence in a Simplified Technical English format.,the reticle image reflects on the bottom,the reticle image makes a reflection on the bottom surface of the glass.
Rewrite the following sentence in a Simplified Technical English format.,"position the switch to ""on"".","set the switch to ""on""."
Rewrite the following sentence in a Simplified Technical English format.,turn the knob anticlockwise to make the light fainter.,turn the knob counterclockwise to decrease the intensity of the light.
Rewrite the following sentence in a Simplified Technical English format.,activate the dimmer switch and ensure that the intensity of the light changes.,operate the dimmer switch and make sure that the intensity of the light changes.
Rewrite the following sentence in a Simplified Technical English format.,remove the cover using a 1/2 inch wrench.,remove the cover with a 1/2 inch wrench.
Rewrite the following sentence in a Simplified Technical English format.,antenna scans through 80 deg.,the antenna does a scan through 80 deg.
Rewrite the following sentence in a Simplified Technical English format.,adopt the automatic system to open the doors.,use the automatic system to open the doors.
Rewrite the following sentence in a Simplified Technical English format.,do not apply excess adhesive on the gasket.,do not apply too much adhesive on the gasket.
Rewrite the following sentence in a Simplified Technical English format.,the oil should flow out of the valve.,the oil must flow out of the valve.
Rewrite the following sentence in a Simplified Technical English format.,"after you remove the nut, the rib can move down a little.","after you remove the nut, the rib can move down a small distance."
Rewrite the following sentence in a Simplified Technical English format.,empty the air out of the tire to a pressure of 2 bar (29 psi).,deflate the tire to a pressure of 2 bar (29 psi).
Rewrite the following sentence in a Simplified Technical English format.,inspect the static dischargers for bent and blunted pins.,examine the static dischargers for bent and blunt pins.
Rewrite the following sentence in a Simplified Technical English format.,drain the system entirely.,drain the system fully.
Rewrite the following sentence in a Simplified Technical English format.,motor the engine without ignition,wet-motor the engine
Rewrite the following sentence in a Simplified Technical English format.,"if the test is not successful, replace the unit.","if the test results are not correct, replace the unit."
Rewrite the following sentence in a Simplified Technical English format.,inspect the state of the wheels.,examine the condition of the wheels.
Rewrite the following sentence in a Simplified Technical English format.,"if the cable catches, suspend all operations.","if the cable catches, stop the procedure."
Rewrite the following sentence in a Simplified Technical English format.,the turnbuckle travels through a hole in the bulkhead.,the turnbuckle goes through a hole in the bulkhead.
Rewrite the following sentence in a Simplified Technical English format.,be careful when you cut lockwire.,be careful when you cut lockwire.
Rewrite the following sentence in a Simplified Technical English format.,ensure that the clearance exists between the lever and the roller.,make sure that there is clearance between the lever and the roller.
Rewrite the following sentence in a Simplified Technical English format.,shift the probe downstream and observe the temperature again.,move the probe downstream and monitor the temperature again.
Rewrite the following sentence in a Simplified Technical English format.,"if unfavorable weather conditions are forecast, moor the aircraft securely.","if bad weather is possible, moor the aircraft safely."
Rewrite the following sentence in a Simplified Technical English format.,"to put out a fire in the engine, drag the ""fire"" handle.","to extinguish a fire in the engine, pull the ""fire"" handle."
Rewrite the following sentence in a Simplified Technical English format.,the temperature must be adjusted.,adjust the temperature.
Rewrite the following sentence in a Simplified Technical English format.,ensure the stopwatch indicates between 2 and 4 minutes.,make sure that the stopwatch indication is between 2 and 4 minutes.
Rewrite the following sentence in a Simplified Technical English format.,"if the test does not give satisfactory results, implement the fault isolation procedure.","if the test does not give satisfactory results, do the fault isolation procedure."
Rewrite the following sentence in a Simplified Technical English format.,let the dial become stable before taking readings.,let the dial become stable before you read the indications.
Rewrite the following sentence in a Simplified Technical English format.,the final action will open the valve.,the last step will open the valve.
Rewrite the following sentence in a Simplified Technical English format.,"if the indications vary, perform these steps.","if the indications are different, do these steps."
Rewrite the following sentence in a Simplified Technical English format.,"if the cable chafes, it will eventually break.","if the cable rubs, it will break after some time."
Rewrite the following sentence in a Simplified Technical English format.,neither unit must operate.,the two units must not operate.
Rewrite the following sentence in a Simplified Technical English format.,"when you work with cleaning agents, use breathing equipment.","when you do work with cleaning agents, use breathing equipment."
Rewrite the following sentence in a Simplified Technical English format.,brake pads do not contact wheel rim.,brake pads do not touch wheel rim.
Rewrite the following sentence in a Simplified Technical English format.,deaerate the speedbrake hydraulic system.,bleed the speedbrake hydraulic system.
Rewrite the following sentence in a Simplified Technical English format.,you may drive the vehicle once the inspection is finished.,you can operate the vehicle after the inspection is completed.
Rewrite the following sentence in a Simplified Technical English format.,"the nuts should be tightened, yet loose enough to remove by hand.","tighten the nuts, but keep them sufficiently loose to remove them with your hand."
Rewrite the following sentence in a Simplified Technical English format.,take out the bolt that is the most distant from the center.,remove the bolt that is farthest from the center.
Rewrite the following sentence in a Simplified Technical English format.,apply a light quantity of lubricant on each o-ring before its installation.,apply a small quantity of lubricant on each o-ring before you install it.
Rewrite the following sentence in a Simplified Technical English format.,it is vital to set the indicator back to zero after the test.,"after the test, it is necessary to set the indicator back to zero."
Rewrite the following sentence in a Simplified Technical English format.,make sure that the mark on the bolt is even with the mark on the handle.,make sure that the mark on the bolt is level with the mark on the handle.
Rewrite the following sentence in a Simplified Technical English format.,"if the rigging pin is difficult to install, adjust the length of the rod.","if you cannot install the rigging pin easily, adjust the length of the rod."
Rewrite the following sentence in a Simplified Technical English format.,convey the equipment to a safe area.,move the equipment to a safe area.
Rewrite the following sentence in a Simplified Technical English format.,"if the fuel sample reveals free water, drain the system.","if the fuel sample shows free water, drain the system."
Rewrite the following sentence in a Simplified Technical English format.,the control unit is at the back.,the control unit is at the rear.
Rewrite the following sentence in a Simplified Technical English format.,avoid touching the glass of the bulb.,do not touch the glass of the bulb.
Rewrite the following sentence in a Simplified Technical English format.,delete the flight data from the tape.,erase the flight data from the tape.
Rewrite the following sentence in a Simplified Technical English format.,all fluids gather at the lowest point in the compartment.,all fluids collect at the lowest point in the compartment.
Rewrite the following sentence in a Simplified Technical English format.,shifters are located on the handlebar.,the shifters are on the handlebar.
Rewrite the following sentence in a Simplified Technical English format.,see table 8001 for the applicable torque value.,refer to table 8001 for the applicable torque values.
Rewrite the following sentence in a Simplified Technical English format.,unscrew the end fitting to align the rigging holes.,turn the end fitting to align the rigging holes.
Rewrite the following sentence in a Simplified Technical English format.,scrap the soiled rags.,discard the dirty rags.
Rewrite the following sentence in a Simplified Technical English format.,a water hose that has high pressure may cause some parts to become loose or full of water.,a water hose that has high pressure can cause some parts to become loose or full of water.
Rewrite the following sentence in a Simplified Technical English format.,time the pressure decay.,measure the time that is necessary for the pressure to decrease.
Rewrite the following sentence in a Simplified Technical English format.,this chapter gives additional information about safety.,this chapter gives more information about safety.
Rewrite the following sentence in a Simplified Technical English format.,the pressure value must be above 800 kpa.,the pressure value must be more than 800 kpa.
Rewrite the following sentence in a Simplified Technical English format.,prompt action is required if you swallow solvent.,"if you swallow solvent, get medical aid immediately."
Rewrite the following sentence in a Simplified Technical English format.,these fluids may cause corrosion.,these fluids can cause corrosion.
Rewrite the following sentence in a Simplified Technical English format.,do not exert pressure on the aft flange.,do not apply pressure to the aft flange.
Rewrite the following sentence in a Simplified Technical English format.,"when six months have elapsed, do the check of the oil level.","at intervals of six months, do the check of the oil level."
Rewrite the following sentence in a Simplified Technical English format.,repeat steps (10) to (14).,do steps (10) thru (14) again.
Rewrite the following sentence in a Simplified Technical English format.,the straps are anchored to a full-length rail.,the straps are attached to a full-length rail.
Rewrite the following sentence in a Simplified Technical English format.,mark the component with a code to help you install it again correctly.,identify the component with a code to help you install it again correctly.
Rewrite the following sentence in a Simplified Technical English format.,the file opening must not generate errors.,there must be no errors when you open the file.
Rewrite the following sentence in a Simplified Technical English format.,you must take care when you work with high voltages.,obey the safety precautions when you do work with high voltages.
Rewrite the following sentence in a Simplified Technical English format.,"be careful when you do this procedure. if the unit falls, it can hurt personnel.","be careful when you do this procedure. if the unit falls, it can cause injury to personnel."
Rewrite the following sentence in a Simplified Technical English format.,clear junk from the chain.,clean debris from the chain.
Rewrite the following sentence in a Simplified Technical English format.,"if you get the spray in your eyes, get medical attention.","if you get the spray in your eyes, get medical aid."
Rewrite the following sentence in a Simplified Technical English format.,the regulation of temperature in the compartment is effected by a sensor.,a sensor controls the temperature in the compartment.
Rewrite the following sentence in a Simplified Technical English format.,impurity may result in a failure of the pump.,contamination can cause a failure of the pump.
Rewrite the following sentence in a Simplified Technical English format.,make sure that the test results are valid.,make sure that the test results are correct.
Rewrite the following sentence in a Simplified Technical English format.,"a single crack, 0.50 inch long, is allowed.","one crack, 0.50 inch long, is permitted."
Rewrite the following sentence in a Simplified Technical English format.,a blocked oil jet may result in faulty operation.,a blocked oil jet can cause incorrect operation.
Rewrite the following sentence in a Simplified Technical English format.,attach the cables to their respective shackles.,attach the cables to their related shackles.
Rewrite the following sentence in a Simplified Technical English format.,synchronize compass system 1 with compass system 2.,adjust compass system 1 until it agrees with compass system 2.
Rewrite the following sentence in a Simplified Technical English format.,the two extractors function differently.,the two extractors operate differently.
Rewrite the following sentence in a Simplified Technical English format.,resume the test.,continue the test.
Rewrite the following sentence in a Simplified Technical English format.,you may clean the drain holes using the cleaning tool.,you can clean the drain holes with the cleaning tool.
Rewrite the following sentence in a Simplified Technical English format.,plungers must return to the closed position.,the plungers must go back to the closed position.
Rewrite the following sentence in a Simplified Technical English format.,hydraulic fluid is a danger to your health.,hydraulic fluid is dangerous for your health.
Rewrite the following sentence in a Simplified Technical English format.,wash the bicycle with the soaked sponge.,clean the bicycle with the soaked sponge.
Rewrite the following sentence in a Simplified Technical English format.,"if you do not safety the door, damage to the structure due to strong winds is probable.","if you do not safety the door, it is possible that strong winds will cause damage to the structure."
Rewrite the following sentence in a Simplified Technical English format.,handle the actuator with a hoist.,move the actuator with a hoist.
Rewrite the following sentence in a Simplified Technical English format.,flush the pipes to remove deposits.,flush the pipes to remove contamination.
Rewrite the following sentence in a Simplified Technical English format.,make sure the rate of fuel transfer from the wing tanks to the center tank is equal.,make sure that the rate of movement of fuel from the wing tanks to the center tank is equal.
Rewrite the following sentence in a Simplified Technical English format.,ready the removal kit for the removal of the strut.,prepare the removal kit for the removal of the strut.
Rewrite the following sentence in a Simplified Technical English format.,observe the readings during the retraction test.,monitor the indications during the retraction test.
Rewrite the following sentence in a Simplified Technical English format.,this is the principal function of the system.,this is the primary function of the system.
Rewrite the following sentence in a Simplified Technical English format.,submit five copies of the defect report to the engineering authority.,send five copies of the defect report to the engineering authority.
Rewrite the following sentence in a Simplified Technical English format.,ensure the lamp is illuminated.,make sure that the lamp is on.
Rewrite the following sentence in a Simplified Technical English format.,chain rings pull on the chain when the cranks rotate.,the chain rings pull on the chain when the cranks turn.
Rewrite the following sentence in a Simplified Technical English format.,the fuel pump is fitted beside the bulkhead.,the fuel pump is installed adjacent to the bulkhead.
Rewrite the following sentence in a Simplified Technical English format.,lead the teleflex cable through the bulkhead.,put the teleflex cable through the bulkhead
Rewrite the following sentence in a Simplified Technical English format.,top off the hydraulic reservoir as necessary.,add fluid to the hydraulic reservoir as necessary.
Rewrite the following sentence in a Simplified Technical English format.,ensure the reservoir is filled with water.,make sure that the reservoir fills with water.
Rewrite the following sentence in a Simplified Technical English format.,confirm that the cabin pressure remains uniform.,make sure that the cabin pressure stays constant.
Rewrite the following sentence in a Simplified Technical English format.,the computer has the capability to calculate the result automatically.,the computer can calculate the result automatically.
Rewrite the following sentence in a Simplified Technical English format.,ensure the latch is absolutely engaged.,make sure that the latch is fully engaged.
Rewrite the following sentence in a Simplified Technical English format.,make sure that the microswitches are deactivated.,make sure that the microswitches are disconnected.
Rewrite the following sentence in a Simplified Technical English format.,these repairs impact engine performance.,these repairs have an effect on the performance of the engine.
Rewrite the following sentence in a Simplified Technical English format.,"if you get irregularities in the results, do the test again.","if you get irregular results, do the test again."
Rewrite the following sentence in a Simplified Technical English format.,install another washer on the line.,install one more washer on the line.
Rewrite the following sentence in a Simplified Technical English format.,do not put excess weight on the trolley.,do not put more than the permitted weight on the trolley.
Rewrite the following sentence in a Simplified Technical English format.,the mixture is reusable.,you can use the mixture again.
Rewrite the following sentence in a Simplified Technical English format.,allow the glue to dry for five minutes until it becomes sticky and dull.,let the glue dry for five minutes until it becomes tacky and dim.
